Car_id,Price
C_CND_003394,24577.63
C_CND_000517,43580.1
C_CND_000537,28474.39
C_CND_016109,17002.77
C_CND_018912,19157.84
C_CND_004521,30023.07
C_CND_016186,44964.2
C_CND_003589,15891.23
C_CND_016734,26670.2
C_CND_015662,23164.15
C_CND_021466,33759.95
C_CND_012312,23245.29
C_CND_010227,38790.7
C_CND_023207,31875.26
C_CND_021026,33401.39
C_CND_009661,17680.12
C_CND_009034,67106.83
C_CND_017162,25098.16
C_CND_010423,37891.38
C_CND_015889,21011.15
C_CND_015122,41994.26
C_CND_012134,66482.08
C_CND_017684,35555.02
C_CND_004306,23317.08
C_CND_011636,46615.24
C_CND_000281,23401.53
C_CND_009890,35310.37
C_CND_002062,32240.26
C_CND_013997,14610.71
C_CND_008676,19939.1
C_CND_012619,28835.04
C_CND_009027,23600.16
C_CND_011061,21670.58
C_CND_010330,20459.91
C_CND_006704,33733.55
C_CND_014299,16801.02
C_CND_004795,19361.13
C_CND_019552,41491.12
C_CND_003255,14705.8
C_CND_022981,16716.04
C_CND_018795,24119.25
C_CND_023771,18754.51
C_CND_006551,22330.17
C_CND_015426,25480.19
C_CND_006689,25577.28
C_CND_023138,20295.3
C_CND_019459,24304.16
C_CND_000944,21162.02
C_CND_022439,25302.14
C_CND_023601,38343.32
C_CND_002335,34744.77
C_CND_010128,22795.54
C_CND_021518,20477.46
C_CND_021978,22106.27
C_CND_015481,38965.19
C_CND_012549,40655.25
C_CND_003691,37862.14
C_CND_007725,27590.12
C_CND_001046,30500.4
C_CND_015295,36441.24
C_CND_010310,52469.21
C_CND_021687,20187.47
C_CND_005226,37791.94
C_CND_003495,15270.35
C_CND_001457,23777.78
C_CND_008073,23603.38
C_CND_013550,19525.86
C_CND_005346,30055.04
C_CND_021434,18835.15
C_CND_007828,14579.14
C_CND_022800,28140.19
C_CND_022006,26069.57
C_CND_021213,28614.26
C_CND_019740,17316.35
C_CND_002169,38861.22
C_CND_018418,34526.24
C_CND_006443,18598.2
C_CND_006900,42929.19
C_CND_006135,28004.17
C_CND_008026,31056.22
C_CND_004570,30810.24
C_CND_021661,25265.33
C_CND_021975,40577.98
C_CND_011080,48798.61
C_CND_014615,20130.16
C_CND_020427,49625.7
C_CND_023603,16015.41
C_CND_020403,31310.41
C_CND_013710,31000.06
C_CND_018394,23650.98
C_CND_001922,24847.04
C_CND_013910,55145.06
C_CND_016222,39000.21
C_CND_004149,22145.46
C_CND_010979,19020.13
C_CND_015944,21449.07
C_CND_007610,20485.2
C_CND_007506,30304.12
C_CND_020369,44409.31
C_CND_008333,27927.15
C_CND_007603,18000.01
C_CND_016745,28625.17
C_CND_020184,31815.27
C_CND_018425,39904.84
C_CND_002435,25546.17
C_CND_019919,23567.08
C_CND_019630,16020.12
C_CND_002085,20113.29
C_CND_009839,12070.24
C_CND_021032,30057.28
C_CND_017392,19979.17
C_CND_005524,19329.12
C_CND_011477,39015.69
C_CND_022728,24520.19
C_CND_020477,27748.09
C_CND_014185,42363.25
C_CND_001963,32003.2
C_CND_009384,19700.09
C_CND_014112,25371.09
C_CND_017345,21263.31
C_CND_014665,26260.34
C_CND_017513,19127.1
C_CND_003779,42570.27
C_CND_023295,20320.21
C_CND_018574,19387.11
C_CND_009832,20358.07
C_CND_007726,49650.13
C_CND_004385,38708.32
C_CND_005884,24285.3
C_CND_022442,30346.29
C_CND_019837,15949.16
C_CND_011962,43986.11
C_CND_006484,28036.18
C_CND_003590,25934.24
C_CND_017241,35589.14
C_CND_020275,19678.71
C_CND_005872,49309.16
C_CND_011840,24534.13
C_CND_018534,34300.24
C_CND_023447,26981.52
C_CND_018225,18855.11
C_CND_010267,31024.72
C_CND_017596,24811.15
C_CND_023371,43395.45
C_CND_014983,29855.73
C_CND_013464,35439.42
C_CND_018784,32080.29
C_CND_002502,40097.3
C_CND_003942,18011.06
C_CND_003382,27129.12
C_CND_000053,30962.09
C_CND_021051,25108.55
C_CND_016264,14414.7
C_CND_015894,22565.15
C_CND_008394,23956.47
C_CND_002773,36000.18
C_CND_010183,20811.16
C_CND_003190,25726.19
C_CND_011403,24106.4
C_CND_003078,21155.1
C_CND_016292,21455.58
C_CND_001645,22660.18
C_CND_005020,25119.87
C_CND_014961,29935.78
C_CND_007761,30288.54
C_CND_002584,13940.61
C_CND_013595,31001.17
C_CND_021182,27034.33
C_CND_007135,31040.07
C_CND_017467,31138.33
C_CND_001511,25771.09
C_CND_012948,17368.21
C_CND_005865,44958.47
C_CND_019025,31685.24
C_CND_011567,37940.75
C_CND_020672,20883.7
C_CND_008031,45326.45
C_CND_022060,45451.14
C_CND_014987,18928.41
C_CND_003849,17577.14
C_CND_022094,67993.32
C_CND_018837,25820.19
C_CND_000200,34396.06
C_CND_010649,18107.31
C_CND_014770,27236.15
C_CND_014481,48746.29
C_CND_016333,25890.12
C_CND_008455,48106.87
C_CND_005091,21401.28
C_CND_004323,19581.07
C_CND_021601,25512.05
C_CND_010909,44019.55
C_CND_006675,64626.45
C_CND_003231,26819.79
C_CND_007469,31870.16
C_CND_016884,19132.1
C_CND_018730,27100.11
C_CND_001633,21122.11
C_CND_010523,32301.82
C_CND_015360,27860.21
C_CND_006519,26592.16
C_CND_016751,32483.26
C_CND_004707,27475.16
C_CND_007713,13228.74
C_CND_015053,30219.71
C_CND_016920,31290.27
C_CND_023877,41485.13
C_CND_005815,24440.06
C_CND_014137,43356.69
C_CND_020078,39297.09
C_CND_011377,33165.27
C_CND_013530,21024.08
C_CND_017468,23982.18
C_CND_015000,25995.08
C_CND_013691,22367.18
C_CND_005366,34751.15
C_CND_006483,30963.02
C_CND_006069,31297.2
C_CND_021227,21221.1
C_CND_001010,19796.17
C_CND_014387,44565.36
C_CND_010506,33762.26
